Date,Hour_Ending,Datetime,Residential_Space_Heat_Demand_GW,Residential_Water_Heat_Demand_GW,Commercial_Space_Heat_Demand_GW,Commercial_Water_Heat_Demand_GW
2016-06-24 00:00:00,12,2016-06-24 11:00:00,0.5100015853225482,0.445263751466073,0.2008253819949943,0.06273811011899155
2016-06-24 00:00:00,13,2016-06-24 12:00:00,0.006400558462648051,0.4122812510925712,0.16680594139025035,0.054019065211186934
2016-06-24 00:00:00,14,2016-06-24 13:00:00,0.0,0.39459063608548184,0.18818329860942187,0.059711233730211075
2016-06-24 00:00:00,15,2016-06-24 14:00:00,0.0,0.3795985901360536,0.14480231138928953,0.05575826484854764
2016-06-24 00:00:00,16,2016-06-24 15:00:00,0.0,0.4162663727499453,0.16921458631184758,0.04645899739383108
2016-06-24 00:00:00,17,2016-06-24 16:00:00,0.0,0.4737022879869803,0.13567878139356404,0.046862350361758294
2016-06-24 00:00:00,18,2016-06-24 17:00:00,0.0,0.5310463341975862,0.17288355467202898,0.060064444255675434
2016-06-24 00:00:00,19,2016-06-24 18:00:00,0.0,0.5902830025129862,0.13949364877789575,0.07114558585797169
2016-06-24 00:00:00,20,2016-06-24 19:00:00,0.0,0.5834365553161173,0.19669860391537292,0.07006893808236453
2016-06-24 00:00:00,21,2016-06-24 20:00:00,0.0,0.5358090792962338,0.14670991881115383,0.0787596897185403
2016-06-24 00:00:00,22,2016-06-24 21:00:00,0.01226578665381243,0.42864726272174686,0.1848910499677827,0.10592760026894762
2016-06-24 00:00:00,23,2016-06-24 22:00:00,0.45264962074226356,0.33566475036199955,0.20062822824996573,0.05583604702204109
2016-06-24 00:00:00,24,2016-06-24 23:00:00,0.32520841724704547,0.30516554962944736,0.28133823494057464,0.040125306878748844
2016-06-25 00:00:00,1,2016-06-25 00:00:00,0.33513035567030514,0.28311312098939617,0.22010246127926603,0.02389614795759277
2016-06-25 00:00:00,2,2016-06-25 01:00:00,0.3334655204880868,0.21325404150902633,0.25258064319063683,0.025497307595522756
2016-06-25 00:00:00,3,2016-06-25 02:00:00,0.27981748674914086,0.198546864999369,0.21972439954767115,0.028342347212688076
2016-06-25 00:00:00,4,2016-06-25 03:00:00,0.3212921878929951,0.21325404150902633,0.2674371219880353,0.03109572843589829
2016-06-25 00:00:00,5,2016-06-25 04:00:00,0.33292019824086755,0.308850678093196,0.4330655398118585,0.03951564661907152
2016-06-25 00:00:00,6,2016-06-25 05:00:00,0.36843008044736764,0.5820187775984245,0.7960102985595581,0.06043643509496757
