Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/29  20:00:00,783.077560156,95.2893542894,398.714959899,0.0,55.6251445156,124.558693486,441.207850262,375.852171203,56.6466996096,8.70897944913
 07/29  21:00:00,791.449419709,95.2893542894,395.695336401,0.0,55.6251445156,124.558693486,451.221037956,391.337218242,42.4850247072,17.3987950069
 07/29  22:00:00,791.476154068,95.2893542894,406.79139162,0.0,46.0930336215,124.558693486,459.259468646,413.538055819,28.3233498048,17.3980630218
 07/29  23:00:00,799.370342471,95.2893542894,414.404211874,0.0,46.0930336215,124.558693486,445.409327148,422.538252423,14.1616749024,8.70939982226
 07/29  24:00:00,792.343496614,95.2893542894,420.299504856,0.0,46.0930336215,113.312780494,451.471255012,428.406912427,5.66466996096,17.3996726249
 07/30  01:00:00,801.408467392,95.2893542894,442.386014187,0.0,34.9616554283,113.312780494,451.255814303,436.880941133,5.66466996096,8.71020320908
 07/30  02:00:00,796.09198229,95.2893542894,436.931869674,0.0,34.9616554283,113.312780494,463.953520762,440.890410131,5.66466996096,17.3984406706
 07/30  03:00:00,798.102906393,95.2893542894,438.860541366,0.0,34.9616554283,113.312780494,459.451360499,445.078404137,5.66466996096,8.70828640051
 07/30  04:00:00,812.28695482,95.2893542894,443.184405723,0.0,44.4937663224,113.312780494,461.239722453,438.175009802,5.66466996096,17.4000426902
 07/30  05:00:00,807.870059745,95.2893542894,442.658391865,0.0,44.4937663224,113.312780494,462.824756778,439.954053814,14.1616749024,8.70902806149
 07/30  06:00:00,869.301491556,95.2893542894,442.59746338,0.0,54.0258772165,176.889270242,424.675072472,378.952815151,28.3233498048,17.3989075163
 07/30  07:00:00,869.306923292,95.2893542894,434.754489389,0.0,54.0258772165,184.38654557,429.207835379,369.324642795,42.4850247072,17.3981678769
 07/30  08:00:00,945.466571208,95.2893542894,431.150038169,0.0,65.1572554096,220.04316451,424.58088741,350.465046433,56.6466996096,17.4691413679
 07/30  09:00:00,935.096874752,95.2893542894,428.166671754,0.0,65.1572554096,212.545889182,396.163597626,336.135195099,42.4850247072,17.5433778199
 07/30  10:00:00,931.838195483,95.2893542894,416.907391114,0.0,65.1572554096,220.04316451,417.111293732,319.883186271,70.808374512,26.4197329496
 07/30  11:00:00,942.716468671,95.2893542894,427.989027415,0.0,65.1572554096,220.04316451,415.976070357,318.747024483,70.808374512,26.4206713613
 07/30  12:00:00,931.849415769,95.2893542894,418.103787376,0.0,65.1572554096,220.04316451,411.995707768,314.771189035,70.808374512,26.4161442214
 07/30  13:00:00,917.729707818,95.2893542894,410.739847495,0.0,65.1572554096,212.545889182,391.423126805,308.3595139,56.6466996096,26.4169132962
 07/30  14:00:00,911.909945086,95.2893542894,403.815971124,0.0,65.1572554096,212.545889182,371.765660595,302.862843656,42.4850247072,26.417792232
 07/30  15:00:00,922.76258183,95.2893542894,415.475806032,0.0,65.1572554096,212.545889182,378.255549557,295.190174079,56.6466996096,26.4186758679
 07/30  16:00:00,897.237659385,95.2893542894,415.895318175,0.0,65.1572554096,220.04316451,398.657330601,287.267723919,84.9700494144,26.4195572676
 07/30  17:00:00,849.402909741,95.2893542894,414.900777358,0.0,54.0258772165,184.38654557,402.496915289,291.217007613,84.9700494144,26.3098582614
 07/30  18:00:00,824.735552195,95.2893542894,421.214318624,0.0,44.4937663224,163.454314868,430.094207491,327.725886927,84.9700494144,17.3982711494
 07/30  19:00:00,827.618250936,95.2893542894,431.646754737,0.0,44.4937663224,155.95703954,410.446835183,345.090630641,56.6466996096,8.70950493308
 07/30  20:00:00,810.129510869,95.2893542894,442.50468619,0.0,44.4937663224,124.558693486,469.116468477,395.071461832,56.6466996096,17.3983070352
 07/30  21:00:00,830.123485926,95.2893542894,452.092536776,0.0,44.4937663224,124.558693486,464.93206043,413.736705078,42.4850247072,8.7103306442
 07/30  22:00:00,819.188091723,95.2893542894,451.504159553,0.0,34.9616554283,124.558693486,479.439494978,433.717445705,28.3233498048,17.3986994684
 07/30  23:00:00,818.331816594,95.2893542894,450.062103335,0.0,34.9616554283,124.558693486,464.529807212,441.659720425,14.1616749024,8.70841188459
 07/30  24:00:00,804.154666095,95.2893542894,448.604975907,0.0,34.9616554283,113.312780494,469.761085593,446.699365406,5.66466996096,17.3970502254
 07/31  01:00:00,813.049866512,95.2893542894,447.451451412,0.0,46.0930336215,113.312780494,469.05948477,454.68568537,5.66466996096,8.7091294392
 07/31  02:00:00,809.93173067,95.2893542894,445.07725578,0.0,46.0930336215,113.312780494,485.603264296,462.539499521,5.66466996096,17.3990948141
 07/31  03:00:00,808.64713128,95.2893542894,443.809364125,0.0,46.0930336215,113.312780494,490.142729911,467.079722308,5.66466996096,17.3983376418
 07/31  04:00:00,901.333226358,95.2893542894,445.43955915,0.0,100.150657288,148.969399434,457.53523516,443.161024907,5.66466996096,8.70954029211
 07/31  05:00:00,903.463728581,95.2893542894,448.920783326,0.0,100.150657288,149.894399434,801.123658401,769.562258465,14.1616749024,17.3997250333
 07/31  06:00:00,1124.12401139,95.544258155,451.746344255,0.0,176.471037341,302.612436532,543.718313205,506.6845925,28.3233498048,8.71037090031
 07/31  07:00:00,1248.50726685,96.1637006846,452.152765709,0.0,243.2593065,310.10971186,523.923796305,455.118255749,42.4850247072,26.320515849
 07/31  08:00:00,1291.70864777,96.7279646354,453.480382941,0.0,243.2593065,310.10971186,513.417224299,430.32001148,56.6466996096,26.4505132101
 07/31  09:00:00,1326.34651117,97.3773739931,453.882777841,0.0,243.2593065,302.612436532,482.878324958,405.009588449,42.4850247072,35.3837118016
 07/31  10:00:00,1334.09213396,97.8490448985,453.319613471,0.0,243.2593065,310.10971186,489.053783699,382.668266989,70.808374512,35.5771421979
 07/31  11:00:00,1322.35381241,98.3992213138,438.97623014,0.0,243.2593065,310.10971186,477.07187984,370.610405018,70.808374512,35.6531003094
 07/31  12:00:00,1264.09201443,99.0666707444,420.789738715,0.0,243.2593065,310.10971186,463.06316896,356.778498004,70.808374512,35.4762964444
 07/31  13:00:00,1289.82116077,99.8413131071,411.675944615,0.0,243.2593065,302.612436532,446.783986963,345.562513009,56.6466996096,44.5747743442
 07/31  14:00:00,1280.61796443,100.937718846,400.75037057,0.0,243.2593065,302.612436532,414.771432281,336.711959257,42.4850247072,35.5744483171
 07/31  15:00:00,1271.15342723,102.427094884,389.062013193,0.0,243.2593065,302.612436532,412.197612213,320.038399578,56.6466996096,35.5125130246
 07/31  16:00:00,1280.43660661,104.195489047,390.038845931,0.0,243.2593065,310.10971186,418.399755926,306.91351726,84.9700494144,26.5161892514
 07/31  17:00:00,1277.84152882,106.236137277,385.142929922,0.0,243.2593065,310.10971186,398.947651315,296.473846846,84.9700494144,17.5037550545
 07/31  18:00:00,1015.9511619,95.2893542894,400.275923914,0.0,166.938926447,199.110933808,384.044427358,281.626235536,84.9700494144,17.4481424078
 07/31  19:00:00,1019.33076729,95.2893542894,410.906031705,0.0,166.938926447,191.61365848,374.376203193,300.283487054,56.6466996096,17.4460165295
 07/31  20:00:00,911.406862406,95.2893542894,434.215016429,0.0,100.150657288,124.558693486,437.447173462,363.354326113,56.6466996096,17.44614774
 07/31  21:00:00,905.534580905,95.2893542894,459.355804474,0.0,100.150657288,124.558693486,451.502331922,391.615101448,42.4850247072,17.4022057664
 07/31  22:00:00,830.269063797,95.2893542894,452.510890037,0.0,46.0930336215,124.558693486,453.00076181,415.966859046,28.3233498048,8.71055295923
 07/31  23:00:00,831.142397623,95.2893542894,452.121975265,0.0,46.0930336215,124.558693486,454.031607637,422.470832079,14.1616749024,17.3991006558
 07/31  24:00:00,819.637066134,95.2893542894,452.799482629,0.0,46.0930336215,113.312780494,441.216172678,426.842899379,5.66466996096,8.70860333758
 08/01  01:00:00,821.051721602,95.2893542894,453.731253088,0.0,46.0930336215,113.312780494,452.497404807,429.434777549,5.66466996096,17.3979572971
 08/01  02:00:00,822.674433362,95.2893542894,454.915055544,0.0,46.0930336215,113.312780494,447.075267402,432.701275888,5.66466996096,8.70932155305
 08/01  03:00:00,822.250851376,95.2893542894,454.902737717,0.0,46.0930336215,113.312780494,460.173017101,437.108880724,5.66466996096,17.399466416
 08/01  04:00:00,915.434847442,95.2893542894,454.395433494,0.0,100.150657288,148.969399434,441.800685377,418.737325574,5.66466996096,17.398689842
 08/01  05:00:00,903.064066994,95.4584455953,443.444319576,0.0,100.150657288,149.894399434,608.898487133,586.027080145,14.1616749024,8.70973208583
 08/01  06:00:00,1117.33965046,97.2718105298,438.998250658,0.0,176.471037341,302.612436532,476.706538932,430.984159115,28.3233498048,17.3990300123
 08/01  07:00:00,1233.02750477,99.4194141032,429.650732934,0.0,243.2593065,310.10971186,453.122017876,393.082265185,42.4850247072,17.5547279835
