Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,16.4421801482,0.730301404804,0.0,0.0,2.55330491699,7.80157382632,22.4348999161,20.6525888211,1.78231109504
 01/01  02:00:00,15.8152933006,0.692139173177,0.0,0.0,2.55330491699,7.21284921042,20.1462576196,19.1126020721,1.03365554752
 01/01  03:00:00,15.6116416135,0.782849794005,0.0,0.0,2.55330491699,6.91848690247,22.4666292588,21.9944653719,0.472163886881
 01/01  04:00:00,15.561737389,0.880126723513,0.0,0.0,2.55330491699,6.7713057485,25.3338945391,24.8617306522,0.472163886881
 01/01  05:00:00,17.5917376342,0.833633520952,0.0,0.0,3.82705111198,7.57405300124,24.3471465205,23.313490973,1.03365554752
 01/01  06:00:00,22.0212393157,0.724522740496,0.0,0.0,6.02426329834,9.91545327661,25.4813084115,20.1428834658,5.33842494577
 01/01  07:00:00,27.2799222127,0.664954557418,0.0,0.0,6.51253267309,14.7454349813,36.3688945379,18.4904891711,17.8784053668
 01/01  08:00:00,30.036779279,0.696208350804,0.0,0.0,6.01364874671,17.9699221805,38.6484397761,19.647051088,19.0013886881
 01/01  09:00:00,23.4771181783,0.79934867191,0.0,0.0,3.66783283761,18.1171033345,41.2190471894,22.9663140489,18.2527331405
 01/01  10:00:00,19.7117660545,0.750461721929,0.0,0.0,3.10526160149,15.8560427302,37.3892348842,21.3824683863,16.006766498
 01/01  11:00:00,16.6657221132,0.621044483821,0.0,0.0,3.10526160149,12.9394160272,32.0015924476,17.4921370447,14.5094554029
 01/01  12:00:00,16.7910724139,0.527417615236,0.0717960154659,0.0,3.10526160149,13.0865971812,25.6216276392,13.9196305395,11.7019970997
 01/01  13:00:00,16.6172749122,0.451514508777,0.121082774268,0.0,3.10526160149,12.9394160272,21.3342476485,11.1295616438,10.2046860047
 01/01  14:00:00,16.1683824217,0.406512188075,0.158736066375,0.0,3.10526160149,12.4978725653,18.5990500563,9.51734737294,9.08170268338
 01/01  15:00:00,15.9402507592,0.384469289679,0.0998284563211,0.0,3.10526160149,12.3506914113,17.5160140171,9.55729465498,7.9587193621
 01/01  16:00:00,17.2468569341,0.411215856345,0.0146786111936,0.0,4.02872759285,12.7922348732,20.3329602546,11.2512575712,9.08170268338
 01/01  17:00:00,29.1554572823,0.413565754832,0.0064090068978,0.0,6.50191812146,17.7693977319,22.0584063476,11.4793925691,10.5790137784
 01/01  18:00:00,37.2791514642,0.372359081111,0.0478360537131,0.0,8.38069375907,23.1212625696,23.7632497608,9.81528601855,13.9479637423
 01/01  19:00:00,39.5508857546,0.361734863944,0.0692950650316,0.0,10.6415932552,23.1212625696,25.638249842,9.25715557027,16.3810942717
 01/01  20:00:00,38.5944060035,0.392583394522,0.051244761605,0.0,12.3080778603,20.4854999863,25.9897231892,10.357284465,15.6324387242
 01/01  21:00:00,38.1620516184,0.413070657705,0.0385240065253,0.0,12.456681583,19.8967753704,25.3882950785,11.0660035625,14.322291516
 01/01  22:00:00,32.7262905634,0.470018331844,0.00931629937236,0.0,9.18739968257,17.702556249,24.8051888924,13.1031917927,11.7019970997
 01/01  23:00:00,25.9430301301,0.631386759627,0.0,0.0,5.91811778209,14.0365255879,28.3685039569,18.1638179522,10.2046860047
 01/01  24:00:00,20.2009213229,0.785787023748,0.0,0.0,3.54045821811,10.5176760807,28.6403618192,22.9276090996,5.71275271954
 01/02  01:00:00,16.5764922907,0.864613547274,0.0,0.0,2.55330491699,7.80157382632,26.9722892995,25.1891527122,1.78313658731
 01/02  02:00:00,16.025793355,0.902639227587,0.0,0.0,2.55330491699,7.21284921042,27.2438453614,26.2096376186,1.03420774281
 01/02  03:00:00,15.7268273721,0.898035552666,0.0,0.0,2.55330491699,6.91848690247,26.2883098314,25.8159969416,0.472312889789
 01/02  04:00:00,15.5756781981,0.894067532652,0.0,0.0,2.55330491699,6.7713057485,25.9704542549,25.4981375083,0.472316746599
 01/02  05:00:00,17.656979472,0.898875358751,0.0,0.0,3.82705111198,7.57405300124,26.6494806569,25.615179588,1.03430106897
 01/02  06:00:00,22.1324135862,0.835697010965,0.0,0.0,6.02426329834,9.91545327661,28.9809674069,23.63739165,5.34357575695
 01/02  07:00:00,27.3491117717,0.734144116354,0.0,0.0,6.51253267309,14.7454349813,38.4502790409,20.552041385,17.8982376559
 01/02  08:00:00,30.234765102,0.70066481136,0.0,0.0,6.01364874671,18.163451543,38.6109903223,19.5883647235,19.0226255987
 01/02  09:00:00,25.1151142973,0.990931222198,0.0,0.0,4.35151303671,18.8798367041,40.7832546374,22.51013372,18.2731209174
 01/02  10:00:00,21.4148101386,1.00709223734,0.0,0.0,3.78894180059,16.6187760998,38.6722076508,22.6476018475,16.0246058033
 01/02  11:00:00,18.4126243668,0.921533168684,0.0,0.0,3.78894180059,13.7021493968,34.4368084223,19.9112126955,14.5255957268
 01/02  12:00:00,18.5071602668,0.868887914837,0.0,0.0,3.78894180059,13.8493305508,29.9390709248,18.2241190914,11.7149518333
 01/02  13:00:00,18.1026212675,0.774790133673,0.0,0.0,3.69398621738,13.6338449159,25.7262730782,15.5103313213,10.2159417568
 01/02  14:00:00,17.7520385574,0.70249082146,0.0,0.0,3.78894180059,13.2606059349,22.6478635194,13.5561793199,9.09168419946
