Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/20  18:00:00,247.374534975,24.2396408466,0.0,0.0,62.886420148,41.4019203762,198.971768359,187.29910149,10.5075,1.16516686846
 11/20  19:00:00,244.379823326,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,216.010459582,205.505438363,9.34,1.16502121862
 11/20  20:00:00,229.024796371,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,225.949637165,216.589637165,9.34,0.02
 11/20  21:00:00,202.80958891,24.2396408466,0.0,0.0,34.9369000822,32.3179380704,231.731207042,222.393843994,8.1725,1.16486304731
 11/20  22:00:00,144.514928437,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,199.624046966,193.78938153,4.67,1.16466543606
 11/20  23:00:00,91.3762905308,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/20  24:00:00,125.667530621,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49935637523,0.0,2.335,1.16435637523
 11/21  01:00:00,94.7391968447,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/21  02:00:00,86.6100938123,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/21  03:00:00,85.0377618211,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923572974,0.0,2.335,1.16423572974
 11/21  04:00:00,83.73666331,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/21  05:00:00,105.195396578,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/21  06:00:00,104.504161793,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/21  07:00:00,152.835951199,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,388.573809474,382.739537096,4.67,1.16427237812
 11/21  08:00:00,148.496996778,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,366.945673184,362.255673184,4.67,0.02
 11/21  09:00:00,208.258323255,24.2396408466,0.0,0.0,34.9369000822,32.3179380704,323.313716772,313.976638503,8.1725,1.1645782687
 11/21  10:00:00,234.812016235,24.2396408466,0.0,0.0,62.886420148,41.4019203762,272.942080667,261.269779208,10.5075,1.16480145891
 11/21  11:00:00,227.068634772,24.2396408466,0.0,0.0,62.886420148,41.4019203762,251.678894636,240.006513463,10.5075,1.16488117311
 11/21  12:00:00,259.315842402,24.2396408466,0.0,0.0,62.886420148,41.4019203762,211.975250369,200.302420379,10.5075,1.16532999029
 11/21  13:00:00,242.815145392,24.2396408466,0.0,0.0,62.886420148,41.4019203762,186.960305422,175.287430742,10.5075,1.16537468047
 11/21  14:00:00,242.154142955,24.2396408466,0.0,0.0,62.886420148,41.4019203762,168.577651891,156.904842913,10.5075,1.16530897823
 11/21  15:00:00,238.753409027,24.2396408466,0.0,0.0,62.886420148,41.4019203762,162.379621214,150.707095839,10.5075,1.1650253757
 11/21  16:00:00,234.978807705,24.2396408466,0.0,0.0,62.886420148,41.4019203762,175.512640037,163.840154,10.5075,1.16498603635
 11/21  17:00:00,244.156442664,24.2396408466,0.0,0.0,62.886420148,41.4019203762,190.178076071,178.505581098,10.5075,1.16499497282
 11/21  18:00:00,246.548612765,24.2396408466,0.0,0.0,62.886420148,41.4019203762,204.295764392,192.623244939,10.5075,1.16501945356
 11/21  19:00:00,243.503020863,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,216.158475877,205.653542479,9.34,1.16493339794
 11/21  20:00:00,221.626359811,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,230.082083105,219.577192392,9.34,1.16489071268
 11/21  21:00:00,195.309373599,24.2396408466,0.0,0.0,34.9369000822,32.3179380704,239.195028883,229.857666312,8.1725,1.16486257046
 11/21  22:00:00,138.341197522,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,206.591682245,201.901682245,4.67,0.02
 11/21  23:00:00,89.3311547385,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49946216294,0.0,2.335,1.16446216294
 11/21  24:00:00,123.514923844,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/22  01:00:00,92.4958637042,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49921279805,0.0,2.335,1.16421279805
 11/22  02:00:00,84.685457981,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/22  03:00:00,83.3326829373,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/22  04:00:00,82.0828997604,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 11/22  05:00:00,87.5280961265,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926711366,0.0,2.335,1.16426711366
 11/22  06:00:00,93.7404144107,7.19488425798,0.0,0.0,3.49369000822,9.08398230582,17.8712612528,15.5162612528,2.335,0.02
 11/22  07:00:00,134.474715958,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,413.907415693,409.217415693,4.67,0.02
 11/22  08:00:00,136.795956537,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,380.029836169,374.195338066,4.67,1.1644981032
 11/22  09:00:00,206.392478741,24.2396408466,0.0,0.0,34.9369000822,32.3179380704,329.738234386,321.545734386,8.1725,0.02
 11/22  10:00:00,232.939243496,24.2396408466,0.0,0.0,62.886420148,41.4019203762,281.38347537,269.711141795,10.5075,1.16483357557
 11/22  11:00:00,225.530372783,24.2396408466,0.0,0.0,62.886420148,41.4019203762,252.881737224,241.20921592,10.5075,1.16502130435
 11/22  12:00:00,257.833401595,24.2396408466,0.0,0.0,62.886420148,41.4019203762,212.929262039,201.256414952,10.5075,1.16534708749
