Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,239.698710151,1.74609366276,0.0,0.0,24.9203635341,149.522181205,24.9485333151,24.9285333151,0.02
 01/01  02:00:00,239.46604372,1.51834231545,0.0,0.0,24.9203635341,149.522181205,22.0608141453,19.8716116276,2.18920251767
 01/01  03:00:00,239.852530888,1.89792789431,0.0,0.0,24.9203635341,149.522181205,29.3610742773,27.1717783977,2.18929587957
 01/01  04:00:00,239.469648761,1.51834231545,0.0,0.0,24.9203635341,149.522181205,25.98109086,23.7917846547,2.18930620536
 01/01  05:00:00,252.07740438,1.89792789431,0.0,0.0,24.9203635341,149.522181205,32.3572243722,30.1680871782,2.18913719394
 01/01  06:00:00,276.135610198,1.51834231545,0.0,0.0,24.9203635341,149.522181205,26.0965457084,21.7325108897,4.36403481875
 01/01  07:00:00,325.409069718,1.89792789431,0.0,0.0,24.9203635341,149.522181205,30.9356035171,28.7463485511,2.18925496596
 01/01  08:00:00,349.469009246,1.51834231545,0.0,0.0,24.9203635341,149.522181205,25.8365113583,23.6472460189,2.18926533939
 01/01  09:00:00,307.136509205,1.89792789431,0.0,0.0,24.9203635341,149.522181205,32.5782465066,30.3891502792,2.18909622741
 01/01  10:00:00,261.53742676,1.51834231545,0.0,0.0,24.9203635341,149.522181205,20.5976248622,20.5776248622,0.02
 01/01  11:00:00,213.027855029,1.89792789431,0.0,0.0,24.9203635341,149.522181205,22.4229824261,20.2337240494,2.18925837675
 01/01  12:00:00,212.642905682,1.51834231545,0.0,0.0,24.9203635341,149.522181205,17.8208197837,13.4590659138,4.36175386986
 01/01  13:00:00,213.023335476,1.89792789431,0.0,0.0,24.9203635341,149.522181205,16.5839610366,14.3928855654,2.19107547117
 01/01  14:00:00,212.641023211,1.51834231545,0.0,0.0,24.9203635341,149.522181205,14.2665448452,9.89900434185,4.36754050332
 01/01  15:00:00,213.020227239,1.89792789431,0.0,0.0,24.9203635341,149.522181205,13.2661761511,11.0750556411,2.19112051005
 01/01  16:00:00,212.638987328,1.51834231545,0.0,0.0,24.9203635341,149.522181205,12.5400229551,10.3507737131,2.18924924197
 01/01  17:00:00,304.630675592,1.89792789431,0.0,0.0,24.9203635341,149.522181205,17.9522706381,15.7629982122,2.18927242584
 01/01  18:00:00,349.459976792,1.51834231545,0.0,0.0,24.9203635341,149.522181205,16.4884589325,14.2991616698,2.18929726271
 01/01  19:00:00,349.844950746,1.89792789431,0.0,0.0,24.9203635341,149.522181205,22.3775134471,20.1884674754,2.18904597174
 01/01  20:00:00,325.018345627,1.51834231545,0.0,0.0,24.9203635341,149.522181205,19.5581846204,17.3689078609,2.18927675953
 01/01  21:00:00,325.403459355,1.89792789431,0.0,0.0,24.9203635341,149.522181205,25.6339905232,23.4448964721,2.18909405108
 01/01  22:00:00,300.577272862,1.51834231545,0.0,0.0,24.9203635341,149.522181205,23.850607455,19.4865716948,4.36403576015
 01/01  23:00:00,276.518942824,1.89792789431,0.0,0.0,24.9203635341,149.522181205,28.2599918995,28.2399918995,0.02
 01/01  24:00:00,251.691458389,1.51834231545,0.0,0.0,24.9203635341,149.522181205,26.6362683355,24.4469886991,2.18927963645
 01/02  01:00:00,289.696528582,1.89792789431,0.0,0.0,24.9203635341,199.362908273,35.9725126608,31.6123045811,4.36020807968
 01/02  02:00:00,289.310004626,1.51834231545,0.0,0.0,24.9203635341,199.362908273,26.2034921182,24.0135869564,2.18990516183
 01/02  03:00:00,289.696993043,1.89792789431,0.0,0.0,24.9203635341,199.362908273,34.4207155188,32.2304943084,2.19022121039
 01/02  04:00:00,289.309633007,1.51834231545,0.0,0.0,24.9203635341,199.362908273,25.8736839304,23.6836185067,2.19006542363
 01/02  05:00:00,301.91879147,1.89792789431,0.0,0.0,24.9203635341,199.362908273,34.0944894055,31.9045113835,2.18997802207
 01/02  06:00:00,350.897742257,1.51834231545,0.0,0.0,49.8407270682,199.362908273,27.7952584892,23.4297444993,4.36551398985
 01/02  07:00:00,428.422919064,29.0600462482,0.0,0.0,49.8407270682,199.362908273,1198.46562991,1196.27377281,2.19185710238
 01/02  08:00:00,552.235688057,29.0600462482,0.0,0.0,149.522181205,199.362908273,900.859596792,892.109093219,8.75050357277
 01/02  09:00:00,1057.38479218,29.0600462482,0.0,0.0,448.566543614,448.566543614,490.554595995,472.956794523,17.5978014724
 01/02  10:00:00,1012.1155238,29.0600462482,0.0,0.0,448.566543614,448.566543614,427.323450953,411.903669172,15.4197817812
 01/02  11:00:00,963.161883229,29.0600462482,0.0,0.0,448.566543614,448.566543614,358.669316112,341.041445973,17.6278701384
 01/02  12:00:00,963.132597108,29.0600462482,0.0,0.0,448.566543614,448.566543614,327.981340583,305.876129959,22.1052106243
 01/02  13:00:00,913.269087816,29.0600462482,0.0,0.0,448.566543614,398.725816546,299.967799208,275.554012927,24.4137862809
 01/02  14:00:00,963.028009207,29.0600462482,0.0,0.0,448.566543614,448.566543614,202.030685225,177.642762049,24.387923176
 01/02  15:00:00,962.995676767,29.0600462482,0.0,0.0,448.566543614,448.566543614,165.731682833,150.337314648,15.3943681848
 01/02  16:00:00,963.037205329,29.0600462482,0.0,0.0,448.566543614,448.566543614,219.945816552,204.559169288,15.3866472649
