Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/24  06:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  07:00:00,3.172580752,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  08:00:00,13.49366784,7.14850634,0,0,3.648650767,2.696510736,111.3503422,111.3503422,,
 09/24  09:00:00,13.49366784,7.14850634,0,0,3.648650767,2.696510736,69.62333934,69.62333934,,
 09/24  10:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,37.20035314,37.20035314,,
 09/24  11:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,21.56828788,21.56828788,,
 09/24  12:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,3.93262889,3.93262889,,
 09/24  13:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0.134450122,0.134450122,,
 09/24  14:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/24  15:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/24  16:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/24  17:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,2.052540318,2.052540318,,
 09/24  18:00:00,18.04115552,7.14850634,0,0,7.297301534,3.595347648,19.957376,19.957376,,
 09/24  19:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  20:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  21:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  22:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  23:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/24  24:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/25  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,143.2373816,143.2373816,,
 09/25  07:00:00,18.04115552,7.14850634,0,0,7.297301534,3.595347648,107.572175,107.572175,,
 09/25  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,81.51442565,81.51442565,,
 09/25  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,46.51961731,46.51961731,,
 09/25  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,23.29373819,23.29373819,,
 09/25  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0.943422678,0.943422678,,
 09/25  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/25  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
