Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/30  15:00:00,54.97517098,9.526118998,0.295858921,0,34.38215545,10.77103761,0,0,,
 06/30  16:00:00,54.97383005,9.526118998,0.294517996,0,34.38215545,10.77103761,0,0,,
 06/30  17:00:00,54.98814471,9.526118998,0.308832657,0,34.38215545,10.77103761,0,0,,
 06/30  18:00:00,42.20941098,9.526118998,0.187599361,0,22.92143696,9.574255654,0,0,,
 06/30  19:00:00,42.03763043,9.526118998,0.015818813,0,22.92143696,9.574255654,0,0,,
 06/30  20:00:00,37.00479017,9.526118998,0,0,19.10119747,8.377473697,0,0,,
 06/30  21:00:00,19.31594015,0,0,0,7.640478988,4.787127827,0,0,,
 06/30  22:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 06/30  23:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 06/30  24:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/01  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  05:00:00,5.082959349,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  06:00:00,13.59985046,9.532438012,0,0.362119764,1.910119747,1.795172935,48.13467864,48.13467864,,
 07/01  07:00:00,17.2255787,9.532438012,0,0.28255532,3.820239494,3.59034587,37.18976572,37.18976572,,
 07/01  08:00:00,27.1841134,9.532438012,0,0.207047119,11.46071848,5.983909784,26.84531493,26.84531493,,
 07/01  09:00:00,42.09777289,9.532438012,0,0.06964226,22.92143696,9.574255654,7.649241511,7.649241511,,
 07/01  10:00:00,54.68036522,9.527172167,0,0,34.38215545,10.77103761,0.020550157,0.020550157,,
 07/01  11:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/01  12:00:00,54.8184376,9.526118998,0.139125542,0,34.38215545,10.77103761,0,0,,
 07/01  13:00:00,55.02137096,9.526118998,0.342058903,0,34.38215545,10.77103761,0,0,,
 07/01  14:00:00,55.12627409,9.526118998,0.446962037,0,34.38215545,10.77103761,0,0,,
 07/01  15:00:00,55.05545443,9.526118998,0.376142371,0,34.38215545,10.77103761,0,0,,
 07/01  16:00:00,55.02049951,9.526118998,0.341187451,0,34.38215545,10.77103761,0,0,,
 07/01  17:00:00,55.00402655,9.526118998,0.324714493,0,34.38215545,10.77103761,0,0,,
 07/01  18:00:00,37.08756937,9.526118998,0.082779204,0,19.10119747,8.377473697,0,0,,
 07/01  19:00:00,26.97074726,9.526118998,0,0,11.46071848,5.983909784,0,0,,
 07/01  20:00:00,26.97074726,9.526118998,0,0,11.46071848,5.983909784,0,0,,
 07/01  21:00:00,23.8250377,9.526118998,0,0,3.820239494,3.59034587,3.318593649,3.318593649,,
 07/01  22:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  23:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/01  24:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  05:00:00,5.082959349,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  06:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  07:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  08:00:00,17.44508642,9.532438012,0,0.502063041,3.820239494,3.59034587,71.0723033,71.0723033,,
 07/02  09:00:00,17.21679847,9.532438012,0,0.273775094,3.820239494,3.59034587,43.72800974,43.72800974,,
 07/02  10:00:00,32.11990914,9.532438012,0,0.125821415,15.28095798,7.18069174,19.88472093,19.88472093,,
 07/02  11:00:00,32.00102711,9.528225336,0,0.011152059,15.28095798,7.18069174,7.99625164,7.99625164,,
 07/02  12:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,2.66E-06,2.66E-06,,
 07/02  13:00:00,42.09703641,9.526118998,0.075224795,0,22.92143696,9.574255654,0,0,,
 07/02  14:00:00,42.18752708,9.526118998,0.165715466,0,22.92143696,9.574255654,0,0,,
 07/02  15:00:00,42.23367135,9.526118998,0.211859738,0,22.92143696,9.574255654,0,0,,
 07/02  16:00:00,42.26235668,9.526118998,0.240545064,0,22.92143696,9.574255654,0,0,,
 07/02  17:00:00,31.98776871,9.526118998,0,0,15.28095798,7.18069174,0,0,,
