Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/11  11:00:00,227.019542748,36.2882835216,57.2889129201,0.0,42.6918050922,68.9656133826,507.591731578,132.843197282,83.4695,291.279034296
 11/11  12:00:00,214.524299315,36.3350997695,48.3433071064,0.0,38.286128036,68.9656133826,466.391485265,156.455322464,83.4695,226.4666628
 11/11  13:00:00,206.826019712,36.3704981489,41.4455988066,0.0,38.286128036,68.9656133826,403.635523687,150.283733713,83.4695,169.882289974
 11/11  14:00:00,186.388804951,36.3985590348,39.9364488551,0.0,31.5818913096,56.727595265,396.277935123,151.237370418,75.1392,169.901364705
 11/11  15:00:00,185.888349012,36.4250365694,39.4158884164,0.0,31.5818913096,56.727595265,383.659671688,154.280613499,66.8089,162.570158189
 11/11  16:00:00,185.182126676,36.436633599,38.3757366232,0.0,31.5818913096,56.727595265,429.116455727,191.356400852,75.1392,162.620854875
 11/11  17:00:00,222.126245402,36.1296610433,37.8664558614,0.0,31.5818913096,61.661095265,400.083776262,178.333487921,91.7998,129.950488341
 11/11  18:00:00,266.069332512,35.64579397,46.1645279734,0.0,31.5818913096,70.9729253606,372.413056538,167.346367748,49.9818,155.08488879
 11/11  19:00:00,337.585655448,35.64579397,55.9217546636,0.0,80.3315023541,83.7685254822,415.399302478,170.107022059,49.9818,195.31048042
 11/11  20:00:00,353.315643262,35.64579397,67.6853457341,0.0,102.000620287,77.6748002752,454.803898455,173.952537406,33.3212,247.530161048
 11/11  21:00:00,382.546131987,35.64579397,76.3746394622,0.0,108.704857014,91.4735406516,453.676724898,167.523756286,33.3212,252.831768612
 11/11  22:00:00,356.568753342,35.64579397,78.5589322975,0.0,95.2963835608,89.1510273009,431.90134508,157.915016629,24.9909,248.995428451
 11/11  23:00:00,302.106465765,35.64579397,77.2705299359,0.0,80.3315023541,63.3799339444,543.619930018,158.585653594,16.6606,368.373676424
 11/11  24:00:00,216.133261026,35.64579397,55.7366583689,0.0,42.6918050922,48.4199368926,390.320065943,166.961951731,8.3303,215.027814212
 11/12  01:00:00,167.583728562,30.9846629218,43.4679762044,0.0,34.4311606118,33.1021868926,165.462995285,38.7815581513,3.33212,123.349317134
 11/12  02:00:00,161.084770463,30.9846629218,36.959964593,0.0,34.4311606118,33.1021868926,130.852085884,33.2865509536,3.33212,94.2334149308
 11/12  03:00:00,140.279104022,30.9846629218,33.6507450173,0.0,19.466279405,30.610668775,128.021649259,30.4468990585,3.33212,94.2426302006
 11/12  04:00:00,139.862912756,30.9846629218,33.2322911331,0.0,19.466279405,30.610668775,126.187442033,28.6041863779,3.33212,94.2511356552
 11/12  05:00:00,148.208345982,30.9846629218,34.9971863657,0.0,19.466279405,30.610668775,160.318586226,27.305776185,3.33212,129.680690042
 11/12  06:00:00,162.88341116,30.9846629218,37.4268859568,0.0,19.466279405,30.610668775,189.538269003,26.7119890768,8.3303,154.495979926
 11/12  07:00:00,246.584577474,33.5094422395,47.1130371378,0.0,42.6918050922,54.3732441037,266.595745899,25.5379027228,16.6606,224.397243176
 11/12  08:00:00,312.37929121,35.6945504578,70.3612975626,0.0,49.3960418185,88.5934452969,517.109724772,122.077460181,24.9909,370.041364591
 11/12  09:00:00,368.296997742,35.64579397,97.2024605336,0.0,57.6566862989,112.030105488,694.73399602,135.186279171,33.3212,526.22651685
 11/12  10:00:00,295.22639028,36.1919419656,80.0466405053,0.0,50.9524495726,81.1684271793,564.732171323,115.444840553,66.8089,382.47843077
 11/12  11:00:00,227.528562371,36.2831507551,57.61141454,0.0,42.6918050922,68.9656133826,487.234490559,118.627649589,83.4695,285.13734097
 11/12  12:00:00,215.057891624,36.3315388902,48.8823534456,0.0,38.286128036,68.9656133826,454.34983018,137.002467711,83.4695,233.877862469
 11/12  13:00:00,207.389701369,36.3678049167,42.2784098286,0.0,38.286128036,68.9656133826,362.16754661,112.389411512,83.4695,166.308635097
 11/12  14:00:00,189.018294326,36.3968074031,42.9730404875,0.0,31.5818913096,56.727595265,351.240083918,109.341056484,75.1392,166.759827434
 11/12  15:00:00,188.645487867,36.424073335,42.5809587208,0.0,31.5818913096,56.727595265,356.876549377,122.728500023,66.8089,167.339149353
 11/12  16:00:00,188.017574359,36.4489621777,41.7249921574,0.0,31.5818913096,56.727595265,409.316766858,169.40996679,75.1392,164.767600067
 11/12  17:00:00,226.250426293,36.1526106094,39.6951747055,0.0,31.5818913096,61.661095265,386.352247299,171.061593745,91.7998,123.490853553
 11/12  18:00:00,266.731384151,35.64579397,47.4520468582,0.0,31.5818913096,70.9729253606,357.806043603,146.153056246,49.9818,161.671187357
