Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/22  17:00:00,41.5742551874,3.70551331767,0.0,0.0,9.17985065927,26.9147,96.0034581641,34.3273070793,50.0982,11.5779510848
 03/22  18:00:00,41.5701863646,3.70551331767,0.0,0.0,9.17985065927,26.9147,95.9877880367,30.7866245795,50.0982,15.1029634572
 03/22  19:00:00,37.3899323648,3.70551331767,0.0,0.0,9.17985065927,19.4245,81.6932851869,31.4280164603,33.3988,16.8664687266
 03/22  20:00:00,38.4270836558,3.70551331767,0.0,0.0,9.17985065927,19.4245,79.6668137748,32.3449800861,33.3988,13.9230336887
 03/22  21:00:00,38.3466819762,3.70551331767,0.0,0.0,9.17985065927,19.4245,80.2336037979,40.0808006234,25.0491,15.1037031745
 03/22  22:00:00,38.2277626726,3.70551331767,0.0,0.0,9.17985065927,19.4245,75.7076945045,46.2599116799,16.6994,12.7483828245
 03/22  23:00:00,39.0028920419,3.70551331767,0.0,0.0,9.17985065927,19.4245,69.7279612915,54.4507457331,8.3497,6.92751555837
 03/22  24:00:00,22.2557294261,3.70551331767,0.0,0.0,4.58992532963,8.1892,72.8410077192,63.7326644123,3.33988,5.76846330687
 03/23  01:00:00,14.7207474939,0.0,0.0,0.0,1.52997510988,7.4902,3.93196024267,0.0,3.33988,0.592080242668
 03/23  02:00:00,14.738905451,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 03/23  03:00:00,14.7473809884,0.0,0.0,0.0,1.52997510988,7.4902,3.93196613308,0.0,3.33988,0.592086133081
 03/23  04:00:00,14.898236181,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 03/23  05:00:00,22.3622912704,3.70551331767,0.0,0.0,4.58992532963,8.1892,78.7537784199,70.3840784199,8.3497,0.02
 03/23  06:00:00,38.3295203334,3.70551331767,0.0102350883282,0.0,9.17985065927,19.4245,84.0560141412,62.7427979325,16.6994,4.61381620875
 03/23  07:00:00,41.5742962915,3.70551331767,0.0145896537966,0.0,9.17985065927,26.9147,94.1820694172,52.2671848917,25.0491,16.8657845255
 03/23  08:00:00,41.5791920212,3.70551331767,0.0,0.0,9.17985065927,26.9147,99.4807478117,50.9788197305,33.3988,15.1031280812
 03/23  09:00:00,34.1011741012,3.70551331767,0.0,0.0,9.17985065927,19.4245,87.0423496994,49.2436813079,25.0491,12.7495683915
 03/23  10:00:00,41.603518435,3.70551331767,0.00802163335262,0.0,9.17985065927,26.9147,100.243538685,47.4957385114,41.7485,10.9993001736
 03/23  11:00:00,42.3422484634,3.70551331767,0.0,0.0,9.17985065927,26.9147,90.9793295537,36.4815321937,41.7485,12.74929736
 03/23  12:00:00,41.6636172778,3.70551331767,0.0,0.0,9.17985065927,26.9147,79.9643754871,27.2163027942,41.7485,10.9995726929
 03/23  13:00:00,34.1471126678,3.70551331767,0.0,0.0,9.17985065927,19.4245,70.4089210427,27.1792347483,33.3988,9.83088629443
 03/23  14:00:00,34.1551099916,3.70551331767,0.0,0.0,9.17985065927,19.4245,63.3077977746,29.5933565377,25.0491,8.66534123687
